atc1,atc2,atc3,atc4,atc_code,status,eurd_substance,status2,value
A,A01,A01A,A01AA,A01AA01,Finland,sodium fluoride (18F),NA,1
A,A01,A01A,A01AB,A01AB02,none,hydrogen peroxide,NA,1
A,A01,A01A,A01AB,A01AB02,none,urea hydrogen peroxide,NA,1
A,A01,A01A,A01AB,A01AB03,Lithuania,chlorhexidine,NA,1
A,A01,A01A,A01AB,A01AB03,none,chlorhexidine / dexpanthenol,NA,1
A,A01,A01A,A01AB,A01AB03,none,chlorhexidine / lidocaine,NA,1
A,A01,A01A,A01AB,A01AB03,Belgium,chlorhexidine gluconate / isopropyl alco,NA,1
A,A01,A01A,A01AB,A01AB03,none,chlorhexidine digluconate / lidocaine hy,NA,1
A,A01,A01A,A01AB,A01AB03,France,"tixocortol, chlorhexidine gluconate / ti",NA,1
A,A01,A01A,A01AB,A01AB03,none,chlorhexidine / phenol,NA,1
A,A01,A01A,A01AB,A01AB03,Slovakia,chlorhexidine / tetracaine,NA,1
A,A01,A01A,A01AB,A01AB07,none,diiodohydroxyquinoline,NA,1
A,A01,A01A,A01AB,A01AB08,Czech Republic,neomycin / triamcinolone,NA,1
A,A01,A01A,A01AB,A01AB08,none,neomycin,NA,1
A,A01,A01A,A01AB,A01AB08,none,neomycin sulfate / nystatin / polymyxin ,NA,1
A,A01,A01A,A01AB,A01AB08,Poland,neomycin sulfate / nystatin / triamcinol,NA,1
A,A01,A01A,A01AB,A01AB09,Sweden,"miconazole, hydrocortisone / miconazole ",NA,1
A,A01,A01A,A01AB,A01AB10,none,natamycin,NA,1
A,A01,A01A,A01AB,A01AB12,none,hexetidine,NA,1
A,A01,A01A,A01AB,A01AB13,none,chlortetracycline,NA,1
A,A01,A01A,A01AB,A01AB13,none,"oxytetracycline, hydrocortisone / oxytet",NA,1
A,A01,A01A,A01AB,A01AB13,none,tetracycline,NA,1
A,A01,A01A,A01AB,A01AB13,none,tetracycline (topical use),NA,1
A,A01,A01A,A01AB,A01AB14,none,benzoxonium chloride,NA,1
A,A01,A01A,A01AB,A01AB14,none,benzoxonium chloride / lidocaine hydroch,NA,1
A,A01,A01A,A01AB,A01AB15,none,tibezonium iodide,NA,1
A,A01,A01A,A01AB,A01AB16,none,mepartricin,NA,1
A,A01,A01A,A01AB,A01AB17,none,metronidazole,NA,1
A,A01,A01A,A01AB,A01AB17,Czech Republic,"metronidazole / miconazole, chlorquinald",NA,1
A,A01,A01A,A01AB,A01AB17,none,metronidazole / spiramycin,NA,1
A,A01,A01A,A01AB,A01AB17,Romania,metronidazole / neomycin / nystatin,NA,1
