atc_code,atc_name
A05AA06,norucholic acid
A05AX08,linerixibat
A05BA11,resmetirom
A10AE57,insulin icodec and semaglutide
A10BD31,"metformin, sitagliptin and dapagliflozin"
A10BD32,glimepiride and dapagliflozin
A10BD33,pioglitazone and dapagliflozin
A12CB04,zinc orotate
A16AB28,verenafusp alfa
A16AX26,glepaglutide
A16AX27,apraglutide
A16AX28,sepiapterin
A16AX29,doxecitine and doxribtimine
B02BD18,arvenacogene sanparvovec
B02BX12,fitusiran
B06AC09,donidalorsen
B06AX06,lovotibeglogene autotemcel
B06AX07,mozafancogene autotemcel
C03EB03,torasemide and potassium-sparing agents
C09BB14,zofenopril and amlodipine
C10BA14,pitavastatin and fenofibrate
C10BX23,"rosuvastatin, amlodipine and ramipril"
C10BX24,"rosuvastatin, amlodipine and telmisartan"
D03AX17,diperoxochloric acid
D06BB13,berdazimer sodium
D11AA02,sofpironium bromide
G02CX07,elinzanetant
J01FA17,nafithromycin
J07BB55,"influenza and covid-19, RNA-based vaccine"
L01EB12,firmonertinib
L01EC04,tovorafenib
L01EE06,tunlametinib
L01EH04,zongertinib
L01EK05,rivoceranib
L01EP03 ,savolitinib
L01EX29,vimseltinib
L01FF14,camrelizumab
L01FF15,envafolimab
L01FX37,linvoseltamab
L03AC03,nogapendekin alfa and inbakicept
L04AA61,nerandomilast
L04AC27,cendakimab
L04AF09,deuruxolitinib
L04AG18,sibeprenlimab
L04AG19,axatilimab
L04AL03,nipocalimab
N06BX53,piracetam and cinnarizine
N06DA06,benzgalantamine
N06DX06,blarcamesine
N06DX07,hydromethylthionine
N07XX26,pridopidine
P02CA53,albendazole and ivermectin
R03BX02,ensifentrine
R03DX12,depemokimab
S01BA17,clobetasol
V04CX13,pegulicianine
V09IX19,vidoflufolastat (18F)
A02BC12,zastaprazan
A10BD34,metformin and enavogliflozin
A16AB29,rebisufligene etisparvovec
C02KN02,baxdrostat
C03DA54,eplerenone and dapagliflozin
C09DX09,"candesartan, amlodipine and indapamide"
C10AX19,lerodalcibep
C10BA15,"rosuvastatin, ezetimibe and fenofibrate"
C10BA16,atorvastatin and fenofibrate
G03CA10,estetrol
H01CB06,paltusotine
J01CG30,sulbactam and durlobactam
J01DI55,sulopenem and probenecid
J06BD10,clesrovimab
J06BD11,libevitug
J07BP01,"chikungunya, live attenuated"
J07BP02,"chikungunya, virus-like particles"
L01EH05,mifanertinib
L01EH06,sevabertinib
L01EM06,inavolisib
L01FF16,sasanlimab
L01FX38,ifinatamab deruxtecan
L01FX39,bemarituzumab
L01XK07,senaparib
L01XX87,revumenib
L02BA05,camizestrant
L03AX25,thymalfasin
L04AA62,tolebrutinib
L04AX11,monomethyl fumarate
M04AB06,dotinurad
M09AX16,apitegromab
N05AX50,xanomeline and trospium
N05CD16,dimdazenil
N07XX27,levacetylleucine
S01AX26,cethexonium
V04CF02,"mycobacterium tuberculosis, recombinant antigens"
V04CH05,relmapirazin
V08CA13,gadoquatrane
V09GX06,flurpiridaz (18F)
A02BC10,fexuprazan
A02BC11,ilaprazole
A05AX07,seladelpar
A10BD30,gemigliptin and dapagliflozin
A10BK09,enavogliflozin
A10XX02,donislecel
A16AX24,govorestat
A16AX25,nedosiran
B02BD17,fidanacogene elaparvovec
B02BX11,marstacimab
B03XA09,molidustat
B03XA10,efepoetin alfa
B06AC07,garadacimab
B06AC08,sebetralstat
C01EB25,acoramidis
C02KX06,sotatercept
C08DA03,etripamil
C09XX01,sparsentan
C10BA13,pitavastatin and ezetimibe
C10BX22,rosuvastatin and nebivolol
J01DF51,aztreonam and beta-lactamase inhibitor
J01RA17,ofloxacin and nitazoxanide
J01RA18,ofloxacin and tinidazole
J01RA19,tetracycline and nystatin
J01XX13,gepotidacin
J04AC02,ftivazide
J04AM09,"pyrazinamide, ethambutol, isoniazid and lomefloxacin"
J04AM10,"pyrazinamide, ethambutol, protionamide and lomefloxacin"
J04AM11,"rifabutin, pyrazinamide and protionamide"
J04AM12,"rifampicin, pyrazinamide, isoniazid and levofloxacin"
J05AG07,elsulfavirine
J05AP14,narlaprevir
J05AR29,"emtricitabine, tenofovir alafenamide and dolutegravir"
J05AX32,riamilovir
J05AX33,labuvirtide
J06BD09,sipavibart
J07AH11,"meningococcus A,B,C,Y,W-135, pentavalent purified polysaccharides antigen conjugated and factor H binding protein"
J07BB05,"influenza, RNA-based vaccine"
L01DC05,utidelone
L01EE05,mirdametinib
L01EL06,tirabrutinib
L01EX28,repotrectinib
L01FD07,zanidatamab
L01FX31,zolbetuximab
L01FX32,elranatamab
L01FX33,tarlatamab
L01FX34,odronextamab
L01FX35,datopotamab deruxtecan
L01FX36,patritumab deruxtecan
L01XH06,tucidinostat
L01XH07,resminostat
L01XL12,obecabtagene autoleucel
L01XM03,olutasidenib
L01XM04,vorasidenib
L01XX81,nirogacestat
L01XX82,darinaparsin
L01XX83,para-toluenesulfonamide
L01XX84,pelabresib
L01XX85,idroxioleic acid
L01XX86,calaspargase pegol
L01XY04,bifikafusp alfa and onfekafusp alfa
L03AX23,motixafortide
L03AX24,mavorixafor
L04AA60,remibrutinib
L04AC26,goflikicept
L04AG17,seniprutug
L04AJ10,vilobelimab
L04AJ11,pozelimab
L04AX10,tegomil fumarate
M01AE19,loxoprofen
M01AE20,pelubiprofen
N02CD08,zavegepant
N06AX31,zuranolone
N07BB06,ondelopran
N07XX24,trofinetide
N07XX25,omaveloxolone
P01AB08,satranidazole
P01AB53,tinidazole and diloxanide
R07AX33,"deutivacaftor, tezacaftor and vanzacaftor"
S01AX25,lotilaner
S01EA55,brimonidine and ripasudil
S01EE52,latanoprost and dorzolamide
S01XA32,avacincaptad pegol
S01XA33,diquafosol
V04CX12,xenon
V09IX18,flotufolastat (18F)
V10XA04,iodine (131I) apamistamab
L01EP,Cellular-mesenchymal-epithelial transition factor (c-MET) kinase inhibitors​
L04AL,Neonatal fragment crystallizable receptor (FcRn) inhibitors
NA,NA
J07BP,Chikungunya vaccines
C09XX,Other agents acting on the renin-angiotensin system
L01XM,Isocitrate dehydrogenase (IDH) inhibitors
