atc_level_01,anatomical_main_group_01,atc_level_03,therapeutic_subgroup_02,atc_level_04,pharmacological_subgroup_03,atc_level_05,chemical_subgroup_04,atc_code,chemical_substance
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents,A01AA01,sodium fluoride
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents,A01AA02,sodium monofluorophosphate
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents,A01AA03,olaflur
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents,A01AA04,stannous fluoride
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents,A01AA30,combinations
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents,A01AA51,"sodium fluoride, combinations"
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB02,hydrogen peroxide
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB03,chlorhexidine
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin b
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB05,polynoxylin
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB06,domiphen
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB07,oxyquinoline
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB08,neomycin
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB10,natamycin
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB11,various
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB12,hexetidine
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB13,tetracycline
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB14,benzoxonium chloride
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB15,tibezonium iodide
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB16,mepartricin
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB19,sodium perborate
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB21,chlortetracycline
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
